effect,order,distance,config,diag,h_1,w_1,h_2,w_2,h_3,w_3
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filler_square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
